Traffic_Light_ID,Green_Time,Yellow_Time
phase_0,27,
phase_1,55,
phase_2,,4
phase_3,78,
phase_4,,3
phase_5,66,
phase_6,,3
phase_7,40,
phase_8,,3
phase_9,84,
phase_10,25,
phase_11,,3
phase_12,25,
phase_13,,4
phase_14,90,
phase_15,,4
phase_16,19,
phase_17,,4
phase_18,47,
phase_19,,4
phase_20,47,
phase_21,,4
phase_22,96,
phase_23,,4
phase_24,57,
phase_25,,3
phase_26,61,
phase_27,,3
phase_28,54,
phase_29,,4
phase_30,70,
phase_31,,3
phase_32,29,
phase_33,,4
phase_34,21,
phase_35,,4
phase_36,41,
phase_37,,3
phase_38,15,
phase_39,,3
phase_40,89,
phase_41,,3
phase_42,95,
phase_43,63,
phase_44,,3
phase_45,56,
phase_46,,4
phase_47,78,
phase_48,,3
phase_49,62,
phase_50,,4
phase_51,92,
